网络推广,上海纳艺文化传播有限公司,3000.0
销售经理,上海茉莉花开摄影有限公司,3000.0
工业产品设计师,上海二十一城广告传媒有限公司,4000.0
客户主管,公司名,0
项目执行/协调人员（可招应届大学生）,上海汉仁工业产品设计有限公司,4500.0
视频助理/视频运营专员,上海唐基广告有限公司,4000.0
户外媒介购买（急招）,上海利屺文化传播有限公司,3000.0
设计助理,上海三只熊网络科技有限公司,3000.0
销售专员/销售代表,上海聚龙广告有限公司,5000.0
行政前台,HONG KONG D&P DESIGN,4000.0
销售/展览业务员/销售代表,上海检风文化传媒有限公司,8000.0
海外运营专员  (松江万达),上海旺翔文化传媒股份有限公司,3500.0
行政前台,上海合景展览展示服务有限公司,6000.0
客户执行-Intern,上海创蓝文化传播有限公司,6000.0
助理培训师/助理咨询师,飞碟视界传媒科技（上海）有限公司,4000.0
媒介企划执行,奥信常客策划顾问（上海）有限公司,3300.0
国际峰会销售顾问（年薪10-20W),艾加（上海）文化传播有限公司,4000.0
网络客服,上海前景传媒股份有限公司,4500.0
央企直聘售后专员月薪6000,决策者（CDMC）,10000.0
财务出纳,上海志存文化传播有限公司,4000.0
媒介主任,中国人寿保险股份有限公司上海市浦...,6000.0
媒体专员,一企非凡（上海）企业登记代理有限...,4000.0
财务文员（劳务派遣）,北京时空视点整合营销顾问股份有限...,4000.0
HZ-财务文员（劳务派遣）,上海宝锦文化传播有限公司,3000.0
销售,中青旅上海国际旅行社有限公司,4500.0
影楼理件人员,中青旅(上海)国际会议展览有限公司,4500.0
项目结算,ESAY易赛体育传媒,4000.0
安装普工,上海徕仲影像科技有限公司,3000.0
总经理助理,上海哲基数字科技有限公司,2000.0
活动执行专员（道具/家具，带工厂）,上海诺尔文化传播有限公司,3000.0
数据库管理员,上海康肯市场营销有限公司,4500.0
质检员,上海奥辰广告有限公司,6000.0
高薪聘请电话客服,CJ CGV国际影城中国总部,6000.0
新媒体客服,赤蓝商贸（上海）有限公司,5833.333333333334
财务行政助理,上海州易信息科技有限公司,20000.0
销售,上海锐普广告有限公司,4000.0
商务助理,上海简至商务咨询有限公司,4500.0
记者-北京国贸,上海鸿博广告传播有限公司,8000.0
结构设计师,赤灵数字科技（上海）有限公司,3000.0
背景音乐销售,上海舜联文化传播有限公司,6000.0
DIY烘焙师/店员/营业员,上海利矢展示设计有限公司,8000.0
文案策划/宣传,深圳市太华世纪文化传播有限公司,5000.0
媒介执行,艺厨乐（上海）文化创意有限公司,4500.0
编剧,上海美术电影制片厂有限公司,3000.0
广告执行,上海艾摩信息技术有限公司,6000.0
Web开发工程师,上海泰珲文化传播有限公司,4500.0
销售,上海达氪车网络科技有限公司,2000.0
前台,Phoceis,15000.0
三维设计师,上海迎河展览服务有限公司,3000.0
前台行政 急招,上海温御文化传播有限公司,4000.0
会员卡销售/高端会员销售,上海星索广告传媒有限公司,8000.0
出纳,上海万怡会展管理股份有限公司,3000.0
平面设计师,上海丽亿商贸有限公司,5000.0
销售代表,上海圣岚广告有限公司,3000.0
SEM专员,公司名,0
初级设计师,上海爱扬文化传播有限公司,3000.0
课程销售,上海百便文化传播有限公司,8000.0
国际展会推广专员,上海创彩广告有限公司,5000.0
前台接待-上海虹口中心,赋逊室内设计咨询（上海）有限公司,4000.0
行政助理兼前台 Admin Assistant/ Receptionist,上海罗乐松萌文化传媒有限公司,10000.0
英语翻译,布莱格会展服务（上海）有限公司,6000.0
现场执行,爱贝国际少儿英语,3000.0
展览项目经理,北京葛瑞传众广告有限公司上海分公司,3000.0
媒体销售,上海璞锐公关策划咨询有限公司,4500.0
人事助理,上海缤蓝商务咨询有限公司,4500.0
网络推广专员,视博国际展览,5000.0
案场销售,上海视杰文化传播有限公司,4000.0
行政内勤,上海读客图书有限公司,2200.0
售后客服,迈学文化传播（上海）有限公司,3000.0
海外市场拓展及翻译,上海左屋右盛房地产咨询有限公司,10000.0
前台文员,上海明致广告有限公司,4500.0
销售专员（可出差）,古摄影,5000.0
PR Intern (Fashion & Luxury),昆山迈吉兴建筑设计有限公司,3000.0
前台/总机/接待生,上海星芮文化传播有限公司,3000.0
Chinese export of cross-border e-commerce,上海聚鹏科技有限公司,6000.0
店员,Activation Group,2000.0
管培生（市场方向）,上海然也影视文化有限公司,3000.0
销售管理培训生（年薪10W）,爱德威广告（上海）有限公司,2000.0
3D设计师,读者（上海）文化创意有限公司,4000.0
项目助理,广东砖头创客文化传媒有限公司,4000.0
AE（广告执行）,上海泽昉公关策划有限公司,6000.0
人事助理,上海迪康广告传播有限公司,3000.0
新媒体专员,上海万池文化传播有限公司,3000.0
销售代表,上海万媒文化传播有限公司,3000.0
经纪人,上海颂诚网络科技有限公司,4000.0
俱乐部总经理助理,全耀体育文化发展（上海）有限公司,6000.0
人力资源助理,上海日欣文化传媒有限公司,3000.0
公关专员,上海传翔文化传媒有限公司,4500.0
化妆师助理,EDG电子竞技俱乐部,6000.0
业务跟单,华东师范大学出版社有限公司,5000.0
用户运营专员,上海艾森营销咨询有限公司,3000.0
财经资讯编辑,上海美风网络科技有限公司,2000.0
自由投稿人,易乐（上海）商贸有限公司,3500.0
文案专员,上海太微文化传播有限公司,6000.0
Android开发工程师,上海梵潇网络科技有限公司,6000.0
财务助理,众旅云商（北京）网络科技有限公司,1500.0
计算机维护工程师(硬件),上海玄一堂广告有限公司,5000.0
电话销售,上海豆萌科技有限公司,13000.0
茶艺师,上海智子信息科技股份有限公司,4500.0
客户执行AE,人民数字科技产业有限公司,4000.0
市场部助理,上海熔煌体育文化发展有限公司,8000.0
天猫化妆品店铺管理人员,上海刚泰文化集团有限公司,4500.0
IT助理,上海灵朗广告有限公司,3000.0
网络管理员,上海正恒文化传播有限公司,3000.0
艺术品处理员,上海露倩广告有限公司,3000.0
行政助理,公司名,0
BD（应届生）,上海市国际展览有限公司,4500.0
客户助理,上海新可风文化传播有限公司,4500.0
前台,上海西岸艺术品保税发展有限公司,5000.0
Finance Intern,东方美谷企业集团上海文化传媒有限...,4000.0
课程销售代表（4K+免费享受音乐课程）,唯存（上海）网络科技有限公司,7000.0
销售代表艺术品收藏品,上海溪菱文化传播有限公司,3000.0
涉外项目助理,上海颛鑫娱乐有限公司,4500.0
人力资源助理,Nurun China,2200.0
微信运营专员,上海韶英教育科技有限公司,6000.0
经理助理,上海东藏文化传播有限公司,8000.0
艺术品包装工,上海艾旷数字科技有限公司,4000.0
网站编辑/网站营运专员,上海泊瑞锶品牌策划有限公司,3000.0
项目助理,上海爱堡文化传播有限公司,3000.0
翻译/本地化项目经理,上海御书楼文化传播中心,4000.0
客服文员,上海特锐艺术展览服务有限公司,5000.0
广告制作执行 学徒,上海诺盖斯展览策划有限公司,3000.0
建筑动画师,上海寅虎广告有限公司,2000.0
